dp[100]:15, k:1, vi:12, wi:15, si:1
dp[99]:15, k:1, vi:12, wi:15, si:1
dp[98]:15, k:1, vi:12, wi:15, si:1
dp[97]:15, k:1, vi:12, wi:15, si:1
dp[96]:15, k:1, vi:12, wi:15, si:1
dp[95]:15, k:1, vi:12, wi:15, si:1
dp[94]:15, k:1, vi:12, wi:15, si:1
dp[93]:15, k:1, vi:12, wi:15, si:1
dp[92]:15, k:1, vi:12, wi:15, si:1
dp[91]:15, k:1, vi:12, wi:15, si:1
dp[90]:15, k:1, vi:12, wi:15, si:1
dp[89]:15, k:1, vi:12, wi:15, si:1
dp[88]:15, k:1, vi:12, wi:15, si:1
dp[87]:15, k:1, vi:12, wi:15, si:1
dp[86]:15, k:1, vi:12, wi:15, si:1
dp[85]:15, k:1, vi:12, wi:15, si:1
dp[84]:15, k:1, vi:12, wi:15, si:1
dp[83]:15, k:1, vi:12, wi:15, si:1
dp[82]:15, k:1, vi:12, wi:15, si:1
dp[81]:15, k:1, vi:12, wi:15, si:1
dp[80]:15, k:1, vi:12, wi:15, si:1
dp[79]:15, k:1, vi:12, wi:15, si:1
dp[78]:15, k:1, vi:12, wi:15, si:1
dp[77]:15, k:1, vi:12, wi:15, si:1
dp[76]:15, k:1, vi:12, wi:15, si:1
dp[75]:15, k:1, vi:12, wi:15, si:1
dp[74]:15, k:1, vi:12, wi:15, si:1
dp[73]:15, k:1, vi:12, wi:15, si:1
dp[72]:15, k:1, vi:12, wi:15, si:1
dp[71]:15, k:1, vi:12, wi:15, si:1
dp[70]:15, k:1, vi:12, wi:15, si:1
dp[69]:15, k:1, vi:12, wi:15, si:1
dp[68]:15, k:1, vi:12, wi:15, si:1
dp[67]:15, k:1, vi:12, wi:15, si:1
dp[66]:15, k:1, vi:12, wi:15, si:1
dp[65]:15, k:1, vi:12, wi:15, si:1
dp[64]:15, k:1, vi:12, wi:15, si:1
dp[63]:15, k:1, vi:12, wi:15, si:1
dp[62]:15, k:1, vi:12, wi:15, si:1
dp[61]:15, k:1, vi:12, wi:15, si:1
dp[60]:15, k:1, vi:12, wi:15, si:1
dp[59]:15, k:1, vi:12, wi:15, si:1
dp[58]:15, k:1, vi:12, wi:15, si:1
dp[57]:15, k:1, vi:12, wi:15, si:1
dp[56]:15, k:1, vi:12, wi:15, si:1
dp[55]:15, k:1, vi:12, wi:15, si:1
dp[54]:15, k:1, vi:12, wi:15, si:1
dp[53]:15, k:1, vi:12, wi:15, si:1
dp[52]:15, k:1, vi:12, wi:15, si:1
dp[51]:15, k:1, vi:12, wi:15, si:1
dp[50]:15, k:1, vi:12, wi:15, si:1
dp[49]:15, k:1, vi:12, wi:15, si:1
dp[48]:15, k:1, vi:12, wi:15, si:1
dp[47]:15, k:1, vi:12, wi:15, si:1
dp[46]:15, k:1, vi:12, wi:15, si:1
dp[45]:15, k:1, vi:12, wi:15, si:1
dp[44]:15, k:1, vi:12, wi:15, si:1
dp[43]:15, k:1, vi:12, wi:15, si:1
dp[42]:15, k:1, vi:12, wi:15, si:1
dp[41]:15, k:1, vi:12, wi:15, si:1
dp[40]:15, k:1, vi:12, wi:15, si:1
dp[39]:15, k:1, vi:12, wi:15, si:1
dp[38]:15, k:1, vi:12, wi:15, si:1
dp[37]:15, k:1, vi:12, wi:15, si:1
dp[36]:15, k:1, vi:12, wi:15, si:1
dp[35]:15, k:1, vi:12, wi:15, si:1
dp[34]:15, k:1, vi:12, wi:15, si:1
dp[33]:15, k:1, vi:12, wi:15, si:1
dp[32]:15, k:1, vi:12, wi:15, si:1
dp[31]:15, k:1, vi:12, wi:15, si:1
dp[30]:15, k:1, vi:12, wi:15, si:1
dp[29]:15, k:1, vi:12, wi:15, si:1
dp[28]:15, k:1, vi:12, wi:15, si:1
dp[27]:15, k:1, vi:12, wi:15, si:1
dp[26]:15, k:1, vi:12, wi:15, si:1
dp[25]:15, k:1, vi:12, wi:15, si:1
dp[24]:15, k:1, vi:12, wi:15, si:1
dp[23]:15, k:1, vi:12, wi:15, si:1
dp[22]:15, k:1, vi:12, wi:15, si:1
dp[21]:15, k:1, vi:12, wi:15, si:1
dp[20]:15, k:1, vi:12, wi:15, si:1
dp[19]:15, k:1, vi:12, wi:15, si:1
dp[18]:15, k:1, vi:12, wi:15, si:1
dp[17]:15, k:1, vi:12, wi:15, si:1
dp[16]:15, k:1, vi:12, wi:15, si:1
dp[15]:15, k:1, vi:12, wi:15, si:1
dp[14]:15, k:1, vi:12, wi:15, si:1
dp[13]:15, k:1, vi:12, wi:15, si:1
dp[12]:15, k:1, vi:12, wi:15, si:1
dp[100]:33, k:1, vi:15, wi:18, si:1
dp[99]:33, k:1, vi:15, wi:18, si:1
dp[98]:33, k:1, vi:15, wi:18, si:1
dp[97]:33, k:1, vi:15, wi:18, si:1
dp[96]:33, k:1, vi:15, wi:18, si:1
dp[95]:33, k:1, vi:15, wi:18, si:1
dp[94]:33, k:1, vi:15, wi:18, si:1
dp[93]:33, k:1, vi:15, wi:18, si:1
dp[92]:33, k:1, vi:15, wi:18, si:1
dp[91]:33, k:1, vi:15, wi:18, si:1
dp[90]:33, k:1, vi:15, wi:18, si:1
dp[89]:33, k:1, vi:15, wi:18, si:1
dp[88]:33, k:1, vi:15, wi:18, si:1
dp[87]:33, k:1, vi:15, wi:18, si:1
dp[86]:33, k:1, vi:15, wi:18, si:1
dp[85]:33, k:1, vi:15, wi:18, si:1
dp[84]:33, k:1, vi:15, wi:18, si:1
dp[83]:33, k:1, vi:15, wi:18, si:1
dp[82]:33, k:1, vi:15, wi:18, si:1
dp[81]:33, k:1, vi:15, wi:18, si:1
dp[80]:33, k:1, vi:15, wi:18, si:1
dp[79]:33, k:1, vi:15, wi:18, si:1
dp[78]:33, k:1, vi:15, wi:18, si:1
dp[77]:33, k:1, vi:15, wi:18, si:1
dp[76]:33, k:1, vi:15, wi:18, si:1
dp[75]:33, k:1, vi:15, wi:18, si:1
dp[74]:33, k:1, vi:15, wi:18, si:1
dp[73]:33, k:1, vi:15, wi:18, si:1
dp[72]:33, k:1, vi:15, wi:18, si:1
dp[71]:33, k:1, vi:15, wi:18, si:1
dp[70]:33, k:1, vi:15, wi:18, si:1
dp[69]:33, k:1, vi:15, wi:18, si:1
dp[68]:33, k:1, vi:15, wi:18, si:1
dp[67]:33, k:1, vi:15, wi:18, si:1
dp[66]:33, k:1, vi:15, wi:18, si:1
dp[65]:33, k:1, vi:15, wi:18, si:1
dp[64]:33, k:1, vi:15, wi:18, si:1
dp[63]:33, k:1, vi:15, wi:18, si:1
dp[62]:33, k:1, vi:15, wi:18, si:1
dp[61]:33, k:1, vi:15, wi:18, si:1
dp[60]:33, k:1, vi:15, wi:18, si:1
dp[59]:33, k:1, vi:15, wi:18, si:1
dp[58]:33, k:1, vi:15, wi:18, si:1
dp[57]:33, k:1, vi:15, wi:18, si:1
dp[56]:33, k:1, vi:15, wi:18, si:1
dp[55]:33, k:1, vi:15, wi:18, si:1
dp[54]:33, k:1, vi:15, wi:18, si:1
dp[53]:33, k:1, vi:15, wi:18, si:1
dp[52]:33, k:1, vi:15, wi:18, si:1
dp[51]:33, k:1, vi:15, wi:18, si:1
dp[50]:33, k:1, vi:15, wi:18, si:1
dp[49]:33, k:1, vi:15, wi:18, si:1
dp[48]:33, k:1, vi:15, wi:18, si:1
dp[47]:33, k:1, vi:15, wi:18, si:1
dp[46]:33, k:1, vi:15, wi:18, si:1
dp[45]:33, k:1, vi:15, wi:18, si:1
dp[44]:33, k:1, vi:15, wi:18, si:1
dp[43]:33, k:1, vi:15, wi:18, si:1
dp[42]:33, k:1, vi:15, wi:18, si:1
dp[41]:33, k:1, vi:15, wi:18, si:1
dp[40]:33, k:1, vi:15, wi:18, si:1
dp[39]:33, k:1, vi:15, wi:18, si:1
dp[38]:33, k:1, vi:15, wi:18, si:1
dp[37]:33, k:1, vi:15, wi:18, si:1
